"","year","value.x","value.y"
"1",1995,39,8
"2",1996,39,8
"3",1997,37.4,8
"4",1999,48.5,8
"5",2000,35.8,7
"6",2001,49.5,8
"7",2002,19.8,8
"8",2003,47.1,8
"9",2004,39.6,8
"10",2005,51,8
"11",2006,34.5,8
"12",2007,43.8,8
"13",2008,44,8
"14",2009,23.4,8
"15",2010,45.9,8
"16",2011,47.9,8
"17",2012,45.6,8
"18",2013,31.4,6
"19",2014,43.22,8
"20",2015,39.1,8
"21",2016,51.7,8
"22",2017,45.8,8
"23",2018,27.3,8
