datum,year,,woy,date,NW,WC,SW,NC,C,SC,NE,EC,SE,STATE,
Days Suitable,1980,KS,9,19800202,,,,,,,,,,,
Days Suitable,1980,KS,10,19800309,,,,,,,,,,1,
Days Suitable,1980,KS,11,19800316,,,,,,,,,,1.5,
Days Suitable,1980,KS,12,19800323,,,,,,,,,,3.5,
Days Suitable,1980,KS,13,19800330,,,,,,,,,,1,
Days Suitable,1980,KS,14,19800406,,,,,,,,,,,
Days Suitable,1980,KS,15,19800413,,,,,,,,,,1.5,
Days Suitable,1980,KS,16,19800420,,,,,,,,,,3.5,
Days Suitable,1980,KS,17,19800427,,,,,,,,,,5.5,
Days Suitable,1980,KS,18,19800504,,,,,,,,,,5,
Days Suitable,1980,KS,19,19800511,5,4.5,2.5,6.5,5.5,5.5,7,7,5.5,5.5,
Days Suitable,1980,KS,20,19800518,4.5,5.5,5,6.5,5.5,5,7,6.5,5.5,5.5,
Days Suitable,1980,KS,21,19800525,3.5,3,2.5,3.5,4.5,3.5,5,5.5,5,4,
Days Suitable,1980,KS,22,19800601,6,4,2,4.5,4.5,3,5,5,5.5,4.5,
Days Suitable,1980,KS,23,19800608,4.5,7,5.5,3.5,5.5,6.5,3,4.5,7,5,
Days Suitable,1980,KS,24,19800615,6.5,6.5,6,6,6.5,6.5,6.5,6,7,6.5,
Days Suitable,1980,KS,25,19800622,4,4.5,5,6.5,6.5,3.5,7,6.5,5.5,5.5,
Days Suitable,1980,KS,26,19800629,6.5,6,6,7,6.5,6,5,6.5,5,6,
Days Suitable,1980,KS,27,19800706,5.5,6.5,7,6.5,6.5,7,6,7,7,6.5,
Days Suitable,1980,KS,28,19800713,6.5,7,6.5,7,6.5,7,6.5,7,7,7,
Days Suitable,1980,KS,29,19800720,6.5,7,6.5,7,6.5,7,7,7,7,7,
Days Suitable,1980,KS,30,19800727,6,6.5,6,6.5,6.5,6,7,7,7,6.5,
Days Suitable,1980,KS,31,19800803,6,7,7,7,7,6.5,7,6.5,6.5,6.5,
Days Suitable,1980,KS,32,19800810,7,6.5,6.5,6.5,4,6,5.5,5,6,6,
Days Suitable,1980,KS,33,19800817,5.5,5.5,6,6.5,4,5,5,5,6.5,5.5,
Days Suitable,1980,KS,34,19800824,4.5,4,5.5,6,4,5,5.5,5.5,6,5,
Days Suitable,1980,KS,35,19800831,5.5,6,5.5,6.5,5.5,6.5,7,7,7,6,
Days Suitable,1980,KS,36,19800907,5,6,6.5,6.5,6,6.5,4,6,7,6,
Days Suitable,1980,KS,37,19800914,3.5,5.5,6.5,6.5,6,7,7,6.5,7,6.5,
Days Suitable,1980,KS,38,19800921,6,6.5,7,5.5,5.5,7,5,6.5,6,6,
Days Suitable,1980,KS,39,19800928,6,6.5,6.5,5.5,6.5,6.5,7,7,7,6.5,
Days Suitable,1980,KS,40,19801005,6.5,7,6.5,6.5,6.5,6,6.5,7,5.5,6.5,
Days Suitable,1980,KS,41,19801012,7,6.5,6.5,6.5,6.5,7,7,7,7,7,
Days Suitable,1980,KS,42,19801019,6.5,7,6.5,7,4,6,6.5,4.5,6.5,6,
Days Suitable,1980,KS,43,19801026,7,6.5,6.5,6.5,6,6,5,4.5,5.5,6,
Days Suitable,1980,KS,44,19801102,3,5.5,6.5,4,3,5,2,2.5,4,4,
Days Suitable,1980,KS,45,19801109,5.5,7,6.5,6.5,6,6.5,6,6,7,6.5,
Days Suitable,1980,KS,46,19801116,5.5,6.5,6.5,6.5,6,6,6,6.5,6,6,
Days Suitable,1980,KS,47,19801123,6,7,6.5,6.5,6,7,6,6,5.5,6,
Days Suitable,1980,KS,48,19801130,4.5,5.5,4,7,6.5,6.5,7,6,5.5,5.5,
Days Suitable,1980,KS,49,19801207,5,6.5,6.5,7,6.5,6.5,6.5,6.5,7,6.5,
Days Suitable,1980,KS,50,19801215,,,,,,,,,,2.5,
Days Suitable,1980,KS,51,19801222,,,,,,,,,,3.5,
Days Suitable,1980,KS,52,19801229,,,,,,,,,,3.5,
Days Suitable,1981,KS,6,19810208,,,,,,,,,,2.5,
Days Suitable,1981,KS,7,19810215,,,,,,,,,,1,
Days Suitable,1981,KS,8,19810222,,,,,,,,,,4.5,
Days Suitable,1981,KS,9,19810301,,,,,,,,,,6,
Days Suitable,1981,KS,10,19810308,,,,,,,,,,3.5,
Days Suitable,1981,KS,11,19810315,,,,,,,,,,4,
Days Suitable,1981,KS,12,19810322,,,,,,,,,,,
Days Suitable,1981,KS,13,19810329,,,,,,,,,,5,
Days Suitable,1981,KS,14,19810405,,,,,,,,,,5,
Days Suitable,1981,KS,15,19810412,,,,,,,,,,6.5,
Days Suitable,1981,KS,16,19810419,5,6.5,6.5,5,6,6.5,5.5,6,6,6,
Days Suitable,1981,KS,17,19810426,0,1,4,1.5,1.5,5,3,3.5,4,3,
Days Suitable,1981,KS,18,19810503,4,5.5,6.5,6.5,5.5,6.5,6.5,6,6.5,6,
Days Suitable,1981,KS,19,19810510,1,2.5,5,3,2,3,4.5,6,5.5,4,
Days Suitable,1981,KS,20,19810517,1,1,2,2,0.5,2,3,3,2.5,2.5,
Days Suitable,1981,KS,21,19810524,0,1,3,1,1,2.5,0.5,1,1,1.5,
Days Suitable,1981,KS,22,19810531,1,2,4.5,1.5,3,3.5,2.5,2,5,3.5,
Days Suitable,1981,KS,23,19810607,4,3,5,4.5,4,2.5,2.5,3,1.5,3.5,
Days Suitable,1981,KS,24,19810614,5.5,5.5,5.5,5,5.5,5,4.5,3.5,5.5,5,
Days Suitable,1981,KS,25,19810621,5.5,6.5,5.5,5,3,4,3.5,1.5,3.5,4,
Days Suitable,1981,KS,26,19810628,6.5,6.5,6.5,6,5,5.5,3,3.5,4.5,5,
Days Suitable,1981,KS,27,19810705,5,7,5.5,2.5,2.5,5,3,1.5,3,3.5,
Days Suitable,1981,KS,28,19810712,6.5,6,5,4.5,5,6,4.5,3.5,4.5,5,
Days Suitable,1981,KS,29,19810719,6.5,6,6.5,6.5,6.5,6,6.5,6,6.5,6.5,
Days Suitable,1981,KS,30,19810726,6,6,6.5,5.5,5,6,4.5,5,5.5,5.5,
Days Suitable,1981,KS,31,19810802,3,4,4,1.5,3.5,3.5,1.5,1.5,5,3,
Days Suitable,1981,KS,32,19810809,4,4.5,5.5,3,5,5.5,1,2.5,5,4,
Days Suitable,1981,KS,33,19810816,4,3.5,4.5,2.5,3,6,3,3.5,6.5,4,
Days Suitable,1981,KS,34,19810823,6,6,5.5,5,6.5,6,5.5,6,5,6,
Days Suitable,1981,KS,35,19810830,5,6.5,6,4,6.5,6.5,4.5,4.5,4,5,
Days Suitable,1981,KS,36,19810906,6,6,6,6.5,3.5,5.5,5,3.5,4,5,
Days Suitable,1981,KS,37,19810913,4,5.5,5.5,4.5,3.5,4.5,4.5,5,4.5,4.5,
Days Suitable,1981,KS,38,19810920,5.5,6,4.5,6.5,6,6,6,7,6.5,6,
Days Suitable,1981,KS,39,19810927,6.5,6,6,5.5,5,6.5,6,6.5,6.5,6,
Days Suitable,1981,KS,40,19811004,7,7,6.5,6.5,6,6,5,6,7,6,
Days Suitable,1981,KS,41,19811011,6.5,6,6.5,6,5,5,4.5,5,5.5,6,
Days Suitable,1981,KS,42,19811018,6,5.5,4.5,2.5,1,2,3,2,2,3,
Days Suitable,1981,KS,43,19811025,5.5,6,6,5,4,4.5,4.5,3.5,2,4.5,
Days Suitable,1981,KS,44,19811101,6.5,6.5,5.5,6,3.5,3,6,3.5,3,5,
Days Suitable,1981,KS,45,19811108,2,2,2,1,0.5,1.5,1,0.5,0,1,
Days Suitable,1981,KS,46,19811115,6,4.5,4,5.5,2,2.5,2.5,1,0.5,3,
Days Suitable,1981,KS,47,19811122,5.5,6.5,5.5,6,5.5,4.5,5.5,5,3,5,
Days Suitable,1981,KS,48,19811129,6,6,6,5.5,6,5.5,6,5,4.5,5.5,
