datum,year,,woy,date,NW,WC,SW,NC,C,SC,NE,EC,SE,STATE,
Days Suitable,1985,KS,31,19850804,0,0.5,4.5,1.5,2.5,4,2,5.5,6.5,3.5,
Days Suitable,1985,KS,32,19850811,4.5,4,5.5,3.5,4.5,5,1.5,3.5,4,4,
Days Suitable,1985,KS,33,19850818,3.5,2,5.5,3.5,4.5,3,1,2.5,2,3,
Days Suitable,1985,KS,34,19850825,4.5,2,4,3.5,2.5,3,0.5,1,1,2.5,
Days Suitable,1985,KS,35,19850901,5.5,6,6,4.5,4,6.5,3,4.5,4.5,5,
Days Suitable,1985,KS,36,19850908,6.5,6,6.5,6,6,6.5,6.5,6.5,7,6.5,
Days Suitable,1985,KS,37,19850915,4.5,4,3.5,5.5,5.5,5,6,5,5.5,5,
Days Suitable,1985,KS,38,19850922,6,4,4,4,5.5,4.5,4.5,6.5,5,4.5,
Days Suitable,1985,KS,39,19850929,4.5,3,4,1.5,3,3,2,1.5,1,2.5,
Days Suitable,1985,KS,40,19851006,2.5,3.5,4,1.5,3,4,1.5,2,2.5,2.5,
Days Suitable,1985,KS,41,19851013,3,3,3,3,2.5,3,2,1,3.5,2.5,
Days Suitable,1985,KS,42,19851020,3.5,3,2.5,3,2,2,2.5,1,1.5,2.5,
Days Suitable,1985,KS,43,19851027,4,4,4.5,4,5,4.5,3,4.5,3.5,4,
Days Suitable,1985,KS,44,19851103,5.5,5,5.5,6,5.5,5.5,6,4,3.5,5,
Days Suitable,1985,KS,45,19851110,6,6,6.5,6,6.5,6.5,6.5,5.5,6,6,
Days Suitable,1985,KS,46,19851117,3,2.5,3.5,3.5,2,3.5,1.5,1.5,1,2.5,
Days Suitable,1985,KS,47,19851124,1,2,4,2.5,3,4,2.5,0.5,1,2.5,
Days Suitable,1985,KS,48,19851201,2,4.5,4,2,2,3,2,2,0,2.5,
Days Suitable,1986,KS,10,19860309,,,,,,,,,,5.5,
Days Suitable,1986,KS,11,19860316,,,,,,,,,,4.5,
Days Suitable,1986,KS,12,19860323,,,,,,,,,,3,
Days Suitable,1986,KS,13,19860330,,,,,,,,,,5.5,
Days Suitable,1986,KS,14,19860406,5.5,5.5,6,2.5,3.5,4.5,4.5,2.5,2,4,
Days Suitable,1986,KS,15,19860413,4.5,6,6.5,4.5,5,6,3,2.5,1.5,4,
Days Suitable,1986,KS,16,19860420,5.5,5.5,6.5,4.5,5.5,5.5,3.5,4,3,5,
Days Suitable,1986,KS,17,19860427,6,6,6.5,6,6,6.5,5,5.5,6,6,
Days Suitable,1986,KS,18,19860504,5,5.5,5.5,2,3,5.5,4,3.5,5,4.5,
Days Suitable,1986,KS,19,19860511,6,6.5,6.5,5,5.5,5.5,4,4.5,5.5,5.5,
Days Suitable,1986,KS,20,19860518,6,6,6.5,3.5,4,5,1.5,2,3,4,
Days Suitable,1986,KS,21,19860525,2.5,6,7,3,4,4.5,1,2.5,2,4,
Days Suitable,1986,KS,22,19860601,2,4.5,4.5,3.5,2.5,3.5,3.5,5,3.5,3.5,
Days Suitable,1986,KS,23,19860608,2.5,3,3,4.5,4,2,4.5,4.5,3,3.5,
Days Suitable,1986,KS,24,19860615,2.5,3,3,3,3,3,4,5,2,3.5,
Days Suitable,1986,KS,25,19860622,5.5,6,6,4.5,6,6,6.5,6.5,6.5,6,
Days Suitable,1986,KS,26,19860629,3.5,4,5.5,5.5,4.5,5.5,5.5,6.5,6,5,
Days Suitable,1986,KS,27,19860706,5,5,5,3,5,4.5,3,2.5,4,4,
Days Suitable,1986,KS,28,19860713,4.5,5.5,5.5,2,2,5,2.5,4,5,4,
Days Suitable,1986,KS,29,19860720,6.5,5.5,6.5,3.5,6.5,6,4.5,5.5,6,5.5,
Days Suitable,1986,KS,30,19860727,6,5.5,5.5,6.5,6.5,6.5,7,7,7,6.5,
Days Suitable,1986,KS,31,19860803,6,6,6.5,7,6.5,6.5,7,5.5,7,6.5,
Days Suitable,1986,KS,32,19860810,6,6.5,5.5,4,5,5,5,3.5,4.5,5,
Days Suitable,1986,KS,33,19860817,5.5,5.5,4.5,3,4.5,4.5,1.5,3.5,5,4.5,
Days Suitable,1986,KS,34,19860824,6,5.5,5,3,4,3,3.5,4.5,5,4,
Days Suitable,1986,KS,35,19860831,6.5,5.5,4.5,4,4.5,3.5,5,4.5,5,4.5,
Days Suitable,1986,KS,36,19860907,5.5,4.5,4.5,5,6.5,5,6.5,6,4.5,5.5,
Days Suitable,1986,KS,37,19860914,5,6,5.5,3.5,5,5,5.5,5.5,4.5,5,
Days Suitable,1986,KS,38,19860921,5,5,6.5,4.5,3.5,5,1.5,3.5,1.5,4,
Days Suitable,1986,KS,39,19860928,5,6.5,6,3.5,4,5,2.5,4,5,4.5,
Days Suitable,1986,KS,40,19861005,5,4.5,4.5,2.5,2,2,0.5,0.5,0.5,2.5,
Days Suitable,1986,KS,41,19861012,5.5,5,5,3.5,2.5,3.5,2,1.5,1,3,
Days Suitable,1986,KS,42,19861019,4.5,5.5,5.5,1.5,3.5,4,2.5,2.5,2.5,3.5,
Days Suitable,1986,KS,43,19861026,2.5,3,3,3,3,3.5,4.5,4,2.5,3,
Days Suitable,1986,KS,44,19861102,5,5.5,5.5,3.5,4,6,2.5,3,3,4.5,
Days Suitable,1986,KS,45,19861109,3,3,1.5,2.5,2.5,3,2.5,2,1.5,2.5,
Days Suitable,1986,KS,46,19861116,3.5,5,3,3,3.5,4,3,3,2,3.5,
Days Suitable,1986,KS,47,19861123,5.5,6,6,4.5,5,6,3,4,4.5,5,
Days Suitable,1986,KS,48,19861130,6.5,6,6.5,5.5,6,6,5,4,3,5.5,
Days Suitable,1987,KS,10,19870306,,,,,,,,,,2.5,
Days Suitable,1987,KS,11,19870313,3,4.5,5.5,3.5,5,4,5,4,4,4.5,
Days Suitable,1987,KS,12,19870320,1,1.5,3,0.5,2.5,2,1.5,0.5,2,1.5,
Days Suitable,1987,KS,13,19870327,0,1,0.5,0,1,0.5,0.5,0,0.5,0.5,
Days Suitable,1987,KS,14,19870405,0,0.5,1,0,0.5,1,0,0.5,1.5,0.5,
Days Suitable,1987,KS,15,19870412,1.5,2,3.5,0.5,2,4,3,4,5,3,
Days Suitable,1987,KS,16,19870419,1,2.5,4,0.5,1,2.5,1,0.5,1,1.5,
Days Suitable,1987,KS,17,19870426,4.5,4.5,6,3,3.5,5,4,4.5,5,4.5,
Days Suitable,1987,KS,18,19870503,6.5,6,6.5,6,6.5,6.5,7,6.5,6.5,6.5,
Days Suitable,1987,KS,19,19870510,0.5,1,2,1,2.5,2.5,2.5,1.5,1.5,2,
Days Suitable,1987,KS,20,19870517,5,5,6,4.5,5,6,4.5,6.5,5,5.5,
Days Suitable,1987,KS,21,19870524,2,3.5,5.5,2.5,5,5,5.5,6.5,6,5,
Days Suitable,1987,KS,22,19870531,2.5,2.5,1,1,0.5,1,2,1.5,1,1.5,
Days Suitable,1987,KS,23,19870607,5.5,6,6,4.5,4.5,4,2.5,3,3,4.5,
Days Suitable,1987,KS,24,19870614,4.5,5,6,3.5,5,4,4.5,5.5,4.5,4.5,
Days Suitable,1987,KS,25,19870621,5,6,6.5,5,5,5.5,5,5.5,6.5,5.5,
Days Suitable,1987,KS,26,19870628,4.5,3.5,3.5,5,4.5,5,4.5,4,4,4,
Days Suitable,1987,KS,27,19870705,3,4,3,3,3,2.5,3.5,3.5,3.5,3,
Days Suitable,1987,KS,28,19870712,3,3,4,3.5,2,2.5,3,4,4,3,
Days Suitable,1987,KS,29,19870719,4.5,5,5,4,4.5,5.5,4.5,5.5,6,5,
Days Suitable,1987,KS,30,19870726,6,6.5,6,5.5,6,6.5,7,6.5,7,6.5,
Days Suitable,1987,KS,31,19870802,7,6.5,7,6,7,7,7,6.5,7,6.5,
Days Suitable,1987,KS,32,19870809,6,5.5,5,6,5.5,6.5,6.5,5.5,6,6,
Days Suitable,1987,KS,33,19870816,5.5,5,5.5,3,4.5,4,6,4.5,4.5,5,
Days Suitable,1987,KS,34,19870823,5.5,6,7,4,4,5,4.5,3.5,4,5,
Days Suitable,1987,KS,35,19870830,3.5,5.5,4.5,2,1.5,2.5,3.5,2,1,3,
Days Suitable,1987,KS,36,19870906,6.5,6.5,7,6.5,5,5.5,5.5,6,6.5,6,
Days Suitable,1987,KS,37,19870913,6,5.5,5,6,4.5,5.5,4,4,4.5,5,
Days Suitable,1987,KS,38,19870920,5.5,6,5.5,5,5.5,5,2.5,2.5,5,4.5,
Days Suitable,1987,KS,39,19870927,6.5,6.5,6,6,6.5,7,5,6,5.5,6,
Days Suitable,1987,KS,40,19871004,6.5,6,6,5.5,6.5,5,7,5.5,3.5,5.5,
Days Suitable,1987,KS,41,19871011,6.5,6.5,6.5,6.5,7,6.5,7,7,7,6.5,
Days Suitable,1987,KS,42,19871018,6,6,6,6,5.5,5.5,6,5.5,5,6,
Days Suitable,1987,KS,43,19871025,6.5,6.5,6.5,5,6,6,5.5,5.5,5,6,
Days Suitable,1987,KS,44,19871101,6.5,6.5,7,4.5,4.5,6.5,5.5,5.5,4.5,5.5,
Days Suitable,1987,KS,45,19871108,6,7,7,4.5,5.5,6.5,4,5.5,6.5,6,
Days Suitable,1987,KS,46,19871115,6.5,6.5,7,6,6.5,6.5,6.5,6.5,6.5,6.5,
Days Suitable,1987,KS,47,19871122,3.5,5.5,6,5,6,6.5,4,5,1.5,5,
Days Suitable,1987,KS,48,19871129,4,6,7,4,5.5,5,3.5,1.5,1,4.5,
Days Suitable,1988,KS,10,19880306,5,5.5,3.5,3,4.5,4,4.5,2.5,5.5,4,
Days Suitable,1988,KS,11,19880313,4.5,5.5,5.5,4.5,5.5,4,5,2.5,0.5,4,
Days Suitable,1988,KS,12,19880320,3,4,4.5,3.5,4,4,6,3,0.5,3.5,
Days Suitable,1988,KS,13,19880327,5,6,5.5,5.5,6,4.5,5,3.5,1,5,
Days Suitable,1988,KS,14,19880403,4.5,4.5,5,5,6,5,5,3,1.5,4.5,
Days Suitable,1988,KS,15,19880410,2,2.5,3.5,2,3,4,3.5,1.5,1,2.5,
Days Suitable,1988,KS,16,19880417,5.5,6,5.5,4.5,5.5,5.5,5,4.5,2.5,5,
Days Suitable,1988,KS,17,19880424,5,4.5,5,5.5,6,4,5,4,2.5,4.5,
Days Suitable,1988,KS,18,19880501,5.5,5.5,5,6,6,4.5,6,5,5,5.5,
Days Suitable,1988,KS,19,19880508,2.5,4,5.5,2.5,2,4,4.5,5,4.5,4,
Days Suitable,1988,KS,20,19880515,6,5.5,6.5,6,6.5,6,6,6.5,7,6,
Days Suitable,1988,KS,21,19880522,6,6,6.5,6.5,7,6.5,7,7,6.5,6.5,
Days Suitable,1988,KS,22,19880529,2.5,4.5,5.5,4.5,3,4.5,2.5,2.5,4.5,4,
Days Suitable,1988,KS,23,19880605,4,2.5,2.5,3.5,4,3.5,4.5,6,6,4,
Days Suitable,1988,KS,24,19880612,5.5,6.5,6.5,6.5,6.5,6.5,6.5,7,7,6.5,
Days Suitable,1988,KS,25,19880619,5.5,6.5,6,6,6.5,6.5,6.5,6,6.5,6,
Days Suitable,1988,KS,26,19880626,6.5,7,7,6.5,6.5,6.5,7,7,7,6.5,
Days Suitable,1988,KS,27,19880703,6.5,6.5,6.5,5.5,6,6,5.5,5.5,6.5,6,
Days Suitable,1988,KS,28,19880710,6,7,6.5,5.5,6,6.5,5.5,5,5.5,6,
Days Suitable,1988,KS,29,19880717,5.5,5.5,6.5,5.5,5,6.5,6,5.5,5.5,6,
Days Suitable,1988,KS,30,19880724,4,4,5.5,2.5,3,4,6,6,2.5,4,
Days Suitable,1988,KS,31,19880731,5.5,7,7,6,6,5.5,7,7,6,6.5,
Days Suitable,1988,KS,32,19880807,5.5,5.5,7,5,6.5,6,7,7,6,6,
Days Suitable,1988,KS,33,19880814,6,4,6,6,4.5,6,6.5,6,6,5.5,
Days Suitable,1988,KS,34,19880821,6,5.5,7,4.5,7,6.5,5.5,7,6.5,6.5,
Days Suitable,1988,KS,35,19880828,6.5,7,7,6,6,6.5,6.5,6.5,5.5,6.5,
Days Suitable,1988,KS,36,19880904,6.5,6.5,6.5,6,6.5,6.5,6.5,7,7,6.5,
Days Suitable,1988,KS,37,19880911,7,7,6,6.5,7,7,7,7,7,6.5,
Days Suitable,1988,KS,38,19880918,4,5,4.5,5,6,6.5,6.5,6,6,5.5,
Days Suitable,1988,KS,39,19880925,5.5,4.5,6.5,5,5.5,6,5,3.5,4.5,5,
Days Suitable,1988,KS,40,19881002,5.5,6,6,6,6.5,6,5.5,6,4.5,5.5,
Days Suitable,1988,KS,41,19881009,5,5,3.5,4,5,4.5,6,5.5,4,4.5,
Days Suitable,1988,KS,42,19881016,6.5,6.5,6.5,6,6.5,5,7,6.5,5.5,6,
Days Suitable,1988,KS,43,19881023,6.5,7,6.5,6,6,6.5,6.5,7,6,6.5,
Days Suitable,1988,KS,44,19881030,6.5,7,7,6.5,7,6.5,7,5.5,5.5,6.5,
Days Suitable,1988,KS,45,19881106,7,6.5,7,6.5,6.5,7,7,7,7,7,
Days Suitable,1988,KS,46,19881113,6.5,6.5,7,6.5,6.5,7,6,6.5,6.5,6.5,
Days Suitable,1988,KS,47,19881120,3.5,3.5,4,2.5,5,5.5,5.5,5,2.5,4.5,
Days Suitable,1988,KS,48,19881127,3.5,6.5,5.5,5,5.5,4,6.5,3.5,2.5,5,
Days Suitable,1989,KS,14,19890402,6,4,5.5,5.5,4,3,3.5,2.5,1.5,4,
Days Suitable,1989,KS,15,19890409,6.5,6,6.5,6,6.5,5.5,1,1,2.5,5,
Days Suitable,1989,KS,16,19890416,4.5,2.5,5.5,6,6.5,6,5,4,6,5.5,
Days Suitable,1989,KS,17,19890423,5.5,6.5,6.5,6.5,6.5,7,6.5,6.5,6.5,6.5,
Days Suitable,1989,KS,18,19890430,6.5,7,7,7,6.5,6.5,6.5,7,7,6.5,
Days Suitable,1989,KS,19,19890507,6,6,5.5,6,6.5,6.5,4,5,6.5,6,
Days Suitable,1989,KS,20,19890514,6.5,6.5,6,6.5,6,7,7,6,6,6,
Days Suitable,1989,KS,21,19890521,1.5,2.5,1.5,4.5,4,2.5,5.5,5.5,3.5,3.5,
Days Suitable,1989,KS,22,19890528,4,4,4.5,4.5,3,2.5,4.5,2,1,3,
Days Suitable,1989,KS,23,19890604,6.5,5.5,6,5,5.5,5.5,5.5,5,4,5.5,
Days Suitable,1989,KS,24,19890611,3.5,3,2,5,3,2.5,5.5,2.5,1,3,
Days Suitable,1989,KS,25,19890618,4,3,2,3.5,2.5,3,6,4,2.5,3.5,
Days Suitable,1989,KS,26,19890625,6,5.5,5.5,5,6,5,5,5.5,5.5,5.5,
Days Suitable,1989,KS,27,19890702,4,3,4,2.5,2.5,2.5,3.5,4.5,4.5,3.5,
Days Suitable,1989,KS,28,19890709,5.5,7,6.5,4.5,4,4.5,6.5,6,6,5.5,
Days Suitable,1989,KS,29,19890716,5.5,5.5,6,5,7,6.5,5.5,6.5,4,5.5,
Days Suitable,1989,KS,30,19890723,5,5.5,6,4,6,6,4.5,4,3.5,5,
Days Suitable,1989,KS,31,19890730,6,6.5,6.5,5.5,5.5,6.5,6,5,6,6,
Days Suitable,1989,KS,32,19890806,6,5.5,5.5,5,6,6.5,6.5,5,5.5,6,
Days Suitable,1989,KS,33,19890813,6.5,5.5,6,6.5,6.5,6,7,5,6.5,6.5,
Days Suitable,1989,KS,34,19890820,5.5,6.5,5,6.5,6,3,6,4.5,5.5,5.5,
Days Suitable,1989,KS,35,19890827,3.5,4.5,4,3.5,4,3.5,4.5,1.5,1,3,
Days Suitable,1989,KS,36,19890903,4,6.5,5.5,2.5,3.5,2,1,0.5,1.5,3,
Days Suitable,1989,KS,37,19890910,3.5,4.5,5.5,3,2.5,2.5,1.5,0.5,2,3,
Days Suitable,1989,KS,38,19890917,1.5,2,2,0.5,1.5,1,1.5,0.5,0.5,1,
Days Suitable,1989,KS,39,19890924,5.5,5.5,6.5,4,4,5,2.5,2.5,4,4,
Days Suitable,1989,KS,40,19891001,6.5,7,7,6,6.5,7,5.5,6.5,7,6.5,
Days Suitable,1989,KS,41,19891008,6,7,6.5,6,6.5,6.5,6.5,7,5,6.5,
Days Suitable,1989,KS,42,19891015,6,7,7,6.5,6.5,6,6.5,6.5,5.5,6.5,
Days Suitable,1989,KS,43,19891022,5.5,5,6.5,5,6.5,7,6,6.5,6.5,6,
Days Suitable,1989,KS,44,19891029,6,6.5,6,6,6,6,6,6,6,6,
Days Suitable,1989,KS,45,19891105,6.5,7,6.5,5,5.5,6,1.5,1.5,1,4.5,
Days Suitable,1989,KS,46,19891112,6.5,7,7,6.5,7,7,5.5,5,6.5,6.5,
Days Suitable,1989,KS,47,19891119,6,6.5,7,6.5,6.5,6.5,6.5,6,6.5,6.5,
Days Suitable,1989,KS,48,19891126,7,7,7,6.5,6.5,6.5,6.5,6,7,6.5,
Days Suitable,1990,KS,10,19900304,7,3,0,6,3,1,3.5,3.5,0.5,2,
Days Suitable,1990,KS,11,19900311,2,2.5,1,2.5,2.5,1,2.5,1.5,0,1.5,
Days Suitable,1990,KS,12,19900318,2.5,3,3,1,0.5,1.5,0,0.5,0,1.5,
Days Suitable,1990,KS,13,19900325,5.5,5.5,6,3.5,3,3,2.5,1,1,3.5,
Days Suitable,1990,KS,14,19900401,3.5,2.5,4,1.5,2,2.5,0,0,0,2,
Days Suitable,1990,KS,15,19900408,2,3,5,1.5,2,4,1.5,0.5,2,2.5,
Days Suitable,1990,KS,16,19900415,2.5,2.5,4.5,3.5,2.5,4.5,3,2,2,3,
Days Suitable,1990,KS,17,19900422,5,4.5,5.5,4,3.5,5,4.5,2,3,4,
Days Suitable,1990,KS,18,19900429,4.5,3,3,3.5,2,2.5,6,3.5,2.5,3.5,
Days Suitable,1990,KS,19,19900506,4.5,3,2,3.5,2,2.5,5,3.5,1.5,3,
Days Suitable,1990,KS,20,19900513,1.5,4,4.5,1.5,2.5,4.5,4,3,3,3,
Days Suitable,1990,KS,21,19900520,1,4.5,6.5,0.5,3,5,0.5,1.5,1.5,3,
Days Suitable,1990,KS,22,19900527,3.5,3.5,6,2,3,6,2,0.5,3,3.5,
Days Suitable,1990,KS,23,19900603,1,1,2.5,3,1,2,2.5,1,1,1.5,
Days Suitable,1990,KS,24,19900610,3,4.5,6.5,4.5,4,5.5,3.5,5,5,4.5,
Days Suitable,1990,KS,25,19900617,6,5.5,6.5,5.5,5,4.5,2.5,4,4.5,5,
Days Suitable,1990,KS,26,19900624,5.5,4.5,5.5,4,3,5,2.5,3.5,4,4,
Days Suitable,1990,KS,27,19900701,6.5,6,6.5,5.5,6.5,6.5,6,5,7,6,
Days Suitable,1990,KS,28,19900708,6,6.5,6.5,6,7,7,6.5,6,7,6.5,
Days Suitable,1990,KS,29,19900715,4.5,4.5,6.5,6,6.5,6.5,6,5,7,6,
Days Suitable,1990,KS,30,19900722,6,6,7,6,6.5,6.5,6.5,6,7,6.5,
Days Suitable,1990,KS,31,19900729,4.5,3.5,5,3.5,5,6,4,4,6.5,5,
Days Suitable,1990,KS,32,19900805,5,3,5,3,4.5,5,4.5,4,5,4.5,
Days Suitable,1990,KS,33,19900812,6.5,6,6,6,6,6,5.5,5.5,6,6,
Days Suitable,1990,KS,34,19900819,4.5,5,6,1.5,1.5,5.5,1.5,0.5,4.5,3.5,
Days Suitable,1990,KS,35,19900826,4.5,4.5,6.5,3.5,3.5,6.5,5,5.5,6.5,5.5,
Days Suitable,1990,KS,36,19900902,6,6.5,7,6.5,6.5,6.5,6.5,7,7,6.5,
Days Suitable,1990,KS,37,19900909,7,6.5,7,6.5,6.5,6.5,6.5,6.5,7,6.5,
Days Suitable,1990,KS,38,19900916,6.5,6,6.5,6,6.5,7,7,6.5,6.5,6.5,
Days Suitable,1990,KS,39,19900923,5.5,5,4,5,4.5,5,6,6,4.5,5,
Days Suitable,1990,KS,40,19900930,6.5,6.5,6.5,6.5,6,5.5,6.5,6.5,5.5,6,
Days Suitable,1990,KS,41,19901007,5.5,6,4.5,4.5,4.5,3,5.5,4.5,4.5,4.5,
Days Suitable,1990,KS,42,19901014,5.5,6,5.5,5.5,4.5,5,3.5,2.5,3.5,4.5,
Days Suitable,1990,KS,43,19901021,6.5,6.5,7,6.5,6.5,6.5,7,6.5,6.5,6.5,
Days Suitable,1990,KS,44,19901028,5,6.5,7,6.5,6.5,7,6.5,7,7,6.5,
Days Suitable,1990,KS,45,19901104,5.5,5.5,6,6,5.5,5.5,5.5,6,6,6,
Days Suitable,1990,KS,46,19901111,2,3.5,4.5,3.5,3.5,3,1.5,2,2.5,3,
Days Suitable,1990,KS,47,19901118,5,6.5,7,5,6,6,4.5,3,5.5,5.5,
Days Suitable,1990,KS,48,19901125,6,7,7,6,6,5.5,5.5,4,5.5,6,
Days Suitable,1990,KS,49,19901202,4,6.5,7,4.5,4.5,6.5,4.5,4.5,5.5,5.5,
Days Suitable,1991,KS,10,19910310,6,6.5,6,6.5,6.5,7,3.5,5.5,7,6,
Days Suitable,1991,KS,11,19910317,5.5,5,5,5.5,6,6,4,6,6.5,5.5,
Days Suitable,1991,KS,12,19910324,3.5,3,4.5,2,3,4,4.5,4.5,6,4,
Days Suitable,1991,KS,13,19910331,3.5,4.5,5.5,3.5,5.5,5,4,5.5,6.5,5,
Days Suitable,1991,KS,14,19910407,5,4.5,6,4.5,5.5,4,4.5,5.5,5.5,5,
Days Suitable,1991,KS,15,19910414,5.5,5.5,6,6,6.5,6,6,6.5,7,6,
Days Suitable,1991,KS,16,19910421,5.5,6,5.5,4.5,4.5,3.5,2.5,2.5,3,4,
Days Suitable,1991,KS,17,19910428,2.5,5,5.5,4,3,3.5,1.5,1.5,2,3,
Days Suitable,1991,KS,18,19910505,3,4,5.5,4,5,5.5,2.5,2,2,3.5,
Days Suitable,1991,KS,19,19910512,3,4.5,6.5,4.5,5,5,3,2.5,2.5,4,
Days Suitable,1991,KS,20,19910519,5,6,6,5,3.5,6.5,4,2.5,3.5,4.5,
Days Suitable,1991,KS,21,19910526,4,4.5,5,4,5,5.5,3,2,1.5,3.5,
Days Suitable,1991,KS,22,19910602,2,3.5,4,2,2,5,3,1.5,5,3,
Days Suitable,1991,KS,23,19910609,3.5,5,4.5,4,3.5,4.5,4,4,3.5,4,
Days Suitable,1991,KS,24,19910616,4,5.5,5.5,5,4.5,5,4.5,4.5,5.5,5,
Days Suitable,1991,KS,25,19910623,4.5,5.5,6,6.5,6.5,6,6.5,5.5,7,6,
Days Suitable,1991,KS,26,19910630,5.5,6,5.5,6,7,7,5.5,6,7,6,
Days Suitable,1991,KS,27,19910707,5.5,5.5,6.5,6,6,6.5,6.5,6.5,7,6,
Days Suitable,1991,KS,28,19910714,4.5,4.5,6.5,6,6,6.5,6,6.5,6.5,6,
Days Suitable,1991,KS,29,19910721,6.5,6.5,6.5,6.5,6.5,7,6.5,6.5,6.5,6.5,
Days Suitable,1991,KS,30,19910728,3,4.5,5,6.5,5.5,5.5,6.5,6.5,4.5,5.5,
Days Suitable,1991,KS,31,19910804,6,7,6.5,6.5,7,7,7,7,6,6.5,
Days Suitable,1991,KS,32,19910811,3,4,4.5,3.5,5,6.5,6,6,6,5.5,
Days Suitable,1991,KS,33,19910818,4,4,5.5,4,5,6.5,6.5,6,6.5,5.5,
Days Suitable,1991,KS,34,19910825,6.5,6,6.5,6.5,5.5,5.5,6.5,7,6.5,6.5,
Days Suitable,1991,KS,35,19910901,6.5,6,6.5,6.5,5.5,6.5,6.5,7,6.5,6.5,
Days Suitable,1991,KS,36,19910908,6.5,6.5,7,6,5,5,5.5,6.5,5.5,6,
Days Suitable,1991,KS,37,19910915,4.5,6,6.5,4,6,6,6.5,6,6.5,6,
Days Suitable,1991,KS,38,19910922,5,6.5,6.5,6,5.5,6.5,6,5.5,4.5,6,
Days Suitable,1991,KS,39,19910929,7,7,7,6.5,6.5,7,6.5,6.5,6,6.5,
Days Suitable,1991,KS,40,19911006,7,7,7,6.5,6.5,7,6,6.5,7,6.5,
Days Suitable,1991,KS,41,19911013,7,7,7,6.5,6.5,7,6.5,7,7,7,
Days Suitable,1991,KS,42,19911020,7,7,7,7,7,7,7,7,7,7,
Days Suitable,1991,KS,43,19911027,7,7,7,7,6.5,6.5,7,6.5,6,6.5,
Days Suitable,1991,KS,44,19911103,3.5,5.5,3.5,3.5,6,4.5,3,3.5,1.5,3.5,
Days Suitable,1991,KS,45,19911110,0,0,0.5,0,1.5,0.5,1,0,1.5,0.5,
Days Suitable,1991,KS,46,19911117,1,0,1,0.5,1,3,0,2,4.5,1.5,
Days Suitable,1991,KS,47,19911124,2,1.5,1,1,2.5,3.5,1,0.5,1,1.5,
Days Suitable,1991,KS,48,19911201,3.5,3.5,3.5,0.5,3.5,4.5,0,0.5,3,2.5,
Days Suitable,1992,KS,10,19920308,2,4,5.5,3,4.5,5,4,4,3.5,4,
Days Suitable,1992,KS,11,19920315,1,2,4.5,2,3.5,5,2,2,3.5,3,
Days Suitable,1992,KS,12,19920322,1.5,4,5.5,2.5,4,3.5,1.5,1.5,3,3,
Days Suitable,1992,KS,13,19920329,2.5,5.5,7,3.5,3,4.5,1.5,0.5,3.5,3.5,
Days Suitable,1992,KS,14,19920405,2.5,4.5,7,2.5,4,5,0.5,2,4.5,3.5,
Days Suitable,1992,KS,15,19920412,3,6,7,3,5.5,6,4.5,4.5,6.5,5.5,
Days Suitable,1992,KS,16,19920419,5.5,6,7,3.5,5.5,5.5,4,3.5,3.5,5,
Days Suitable,1992,KS,17,19920426,5.5,5.5,6.5,3,5,5.5,1,1.5,1.5,4,
Days Suitable,1992,KS,18,19920503,6,7,7,5,6.5,5.5,3,4.5,3.5,5,
Days Suitable,1992,KS,19,19920510,7,7,7,6,6.5,6.5,6,6.5,6.5,6.5,
Days Suitable,1992,KS,20,19920517,6,5.5,6.5,3.5,3.5,4,5.5,5,3,4.5,
Days Suitable,1992,KS,21,19920524,7,6,6,5,4.5,5,6,4,1.5,5,
Days Suitable,1992,KS,22,19920531,2,3.5,5,3,2,2.5,6,4,3,3.5,
Days Suitable,1992,KS,23,19920607,1.5,0.5,2.5,1.5,0.5,0.5,3.5,2.5,1,1.5,
Days Suitable,1992,KS,24,19920614,0.5,0.5,2,1.5,0.5,1,2,1.5,1,1,
Days Suitable,1992,KS,25,19920621,4.5,5,5.5,2.5,2.5,4,4.5,3.5,4,4,
Days Suitable,1992,KS,26,19920628,5,4,4,4.5,4,4,5.5,5,5,4.5,
Days Suitable,1992,KS,27,19920705,4,6,3,5.5,2.5,4,6.5,5,4.5,4.5,
Days Suitable,1992,KS,28,19920712,4,4.5,6,3.5,5.5,6,2.5,4,5,4.5,
Days Suitable,1992,KS,29,19920719,2.5,3.5,5,3,4,4,1,2.5,2,3,
Days Suitable,1992,KS,30,19920726,3.5,3,3.5,1,1.5,3.5,1,1,2.5,2.5,
Days Suitable,1992,KS,31,19920802,5,5.5,5.5,1.5,2.5,6,1,2.5,4,3.5,
Days Suitable,1992,KS,32,19920809,1.5,4.5,5,1,1.5,3.5,2,2,1.5,2.5,
Days Suitable,1992,KS,33,19920816,2.5,4,3.5,3.5,2,3,2,3,3.5,3,
Days Suitable,1992,KS,34,19920823,3,2,4,4.5,4.5,5.5,5,5.5,6,4.5,
Days Suitable,1992,KS,35,19920830,3,3,3.5,3,5,4.5,5.5,5,5.5,4.5,
Days Suitable,1992,KS,36,19920906,3,4.5,5.5,5,6,6.5,6,5.5,5.5,5.5,
Days Suitable,1992,KS,37,19920913,5.5,5.5,6.5,5.5,6.5,6,4,5,3.5,5.5,
Days Suitable,1992,KS,38,19920920,7,7,7,6,6.5,6.5,5.5,5.5,6.5,6.5,
Days Suitable,1992,KS,39,19920927,7,6.5,7,4.5,6,6.5,4.5,5,5,6,
